Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
03/01/05,168,79,30,173,169,42,136,120,162,36,130,57,2,178,66,64,11,29,87,68
10/01/05,157,60,30,92,200,53,51,70,84,28,80,50,29,141,48,29,58,53,68,26
17/01/05,96,44,31,86,93,30,93,84,191,51,64,46,4,157,33,33,24,18,62,44
24/01/05,163,49,43,126,46,39,52,114,107,42,63,54,14,107,66,50,25,21,43,31
31/01/05,122,78,53,87,103,34,95,131,172,40,61,49,11,124,63,56,7,47,85,60
07/02/05,174,76,77,152,189,26,74,181,157,44,95,97,26,146,59,54,27,54,48,60
14/02/05,153,103,54,192,148,65,100,118,129,40,88,56,10,119,104,85,20,32,153,70
21/02/05,115,74,64,174,140,56,111,175,138,60,112,70,21,178,70,75,5,66,149,54
28/02/05,119,86,57,171,90,65,118,105,194,60,67,46,12,112,116,76,22,45,102,42
07/03/05,114,81,129,217,167,64,93,154,119,34,118,73,6,130,68,59,31,85,96,54
14/03/05,127,59,81,243,99,81,72,107,117,57,72,91,9,113,62,22,26,19,118,43
21/03/05,135,74,51,271,215,48,115,148,171,21,114,82,10,141,55,45,23,83,127,36
28/03/05,116,63,98,119,51,48,51,92,76,41,82,72,25,162,49,203,40,47,63,36
04/04/05,132,83,59,130,152,54,78,128,207,42,138,66,6,121,41,92,8,52,108,38
11/04/05,129,53,84,111,103,41,58,91,123,35,91,51,26,144,50,41,25,64,59,30
18/04/05,113,74,62,101,84,66,83,111,134,70,124,63,7,125,55,49,13,46,87,22
25/04/05,114,50,120,126,111,48,77,119,157,50,141,59,26,138,57,41,6,98,64,23
02/05/05,98,66,81,86,48,40,59,131,111,51,97,64,27,83,42,29,2,42,39,32
09/05/05,140,81,103,116,129,51,89,146,65,104,224,124,22,159,66,57,15,111,76,47
16/05/05,120,46,86,94,135,25,93,123,99,96,97,83,52,153,42,36,28,56,44,21
23/05/05,173,99,125,139,84,37,84,122,252,104,174,105,44,137,54,93,28,40,141,43
30/05/05,135,62,145,85,93,27,75,123,135,103,99,74,55,165,42,19,33,49,98,34
06/06/05,143,98,129,100,104,48,73,128,95,62,163,146,39,145,23,84,46,39,87,37
13/06/05,139,30,94,54,61,30,56,79,161,83,99,82,29,66,13,14,23,29,69,47
20/06/05,155,56,94,56,147,24,77,93,150,47,123,83,30,117,36,73,21,53,66,70
27/06/05,98,40,153,32,85,13,31,62,40,42,82,81,10,89,12,60,22,25,49,18
04/07/05,87,18,38,26,69,32,33,66,106,40,84,72,10,91,11,86,12,54,51,34
11/07/05,110,15,67,13,36,20,24,41,49,18,58,43,12,31,11,35,8,18,39,14
18/07/05,70,12,11,12,29,8,13,35,28,25,25,33,7,25,6,8,11,29,24,7
25/07/05,43,12,7,10,17,6,13,16,18,12,26,20,2,23,11,18,8,9,8,9
01/08/05,37,4,21,1,6,6,9,9,18,5,18,17,2,19,5,11,4,6,17,2
08/08/05,30,4,6,8,1,6,1,1,5,5,9,4,5,20,5,7,3,3,4,4
15/08/05,21,1,1,1,4,3,2,12,8,5,2,4,2,7,2,6,2,3,4,1
22/08/05,22,0,0,6,5,0,4,8,3,5,6,3,0,22,4,1,2,24,1,2
29/08/05,15,1,2,1,2,3,1,7,6,2,5,5,0,13,2,4,1,0,0,2
05/09/05,11,3,9,2,19,3,1,6,1,2,4,1,3,9,2,2,2,1,1,0
12/09/05,7,1,1,0,1,1,2,2,5,5,7,4,6,8,3,3,2,2,2,0
19/09/05,12,3,6,5,19,3,0,1,5,1,5,4,4,18,3,6,6,4,4,3
26/09/05,5,2,3,1,28,1,4,2,3,3,9,7,0,15,6,6,5,4,5,16
